id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1073894409940916009,Élysée,48.8818,2.32451,1,,2,3,0,3,1.0,1,1,2,1.0,1.0,2,0,21,5.0,5.0,5.0,5.0,1.4,,,,
1073904239433165476,Élysée,48.877669308125846,2.299169786274433,61,,2,3,0,4,1.0,1,1,2,1.0,1.0,1,0,8,4.5,4.13,4.88,4.88,0.46,,,,
1074589249553850236,Élysée,48.8708251,2.326062,28,,2,3,98,1,0.03,0,1,4,2.0,1.0,30,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1074608173086927543,Élysée,48.87155334581779,2.324873083282004,1,,2,3,269,0,1.0,0,1,2,1.0,1.0,30,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1075050108575147178,Élysée,48.86775,2.3013,141,,2,3,27,4,1.0,0,1,6,3.0,1.0,1,1,16,4.25,4.88,4.38,4.94,0.85,,,,
1075131325801330905,Élysée,48.87073,2.30249,170,,2,3,181,4,0.95,0,1,3,1.0,1.0,30,0,2,5.0,5.0,5.0,5.0,0.14,,,,
1075230796237995439,Élysée,48.86733,2.32273,121,,2,3,324,4,1.0,0,1,6,2.0,1.0,3,1,18,4.67,4.41,4.94,4.94,1.07,,,,
1077360690249409720,Élysée,48.88177241523778,2.322930340995128,1,,2,3,87,0,1.0,0,1,3,1.0,1.0,2,0,1,5.0,5.0,5.0,5.0,0.06,,,,
1077400280648582586,Élysée,48.87107109322637,2.306663575047403,1,,2,3,253,4,1.0,0,1,2,1.0,1.0,1,0,14,4.79,4.93,5.0,5.0,0.8,,,,
1076604320416650284,Élysée,48.8715039,2.3157075,184,,2,3,324,4,1.0,1,1,6,3.0,1.0,3,1,49,4.92,4.88,4.82,4.98,2.8,,,,
1075447205609755444,Élysée,48.87541661110564,2.3041050508618355,1,,2,3,171,3,0.94,1,1,4,2.0,1.0,3,0,14,4.86,4.86,4.71,5.0,0.79,,,,
1076690039564992664,Élysée,48.87879637078687,2.3150571163870053,1,,2,3,263,4,1.0,0,1,8,3.0,1.0,5,1,0,4.82,4.81,4.93,4.97,0.0,,,,
